"VDS
References : ['permute(Gm)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VGS
References : ['permute(Gm)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","permute(Gm)
References : []
Dependency : [VDS,VGS]
Num. Points : [321,16]
Matrix Size : scalar
Type : Real"
4.500,-2.600,0.555
4.500,-2.500,0.549
4.500,-2.400,0.544
4.500,-2.300,0.540
4.500,-2.200,0.536
4.500,-2.100,0.533
4.500,-2.000,0.529
4.500,-1.900,0.526
4.500,-1.800,0.523
4.500,-1.700,0.520
4.500,-1.600,0.517
4.500,-1.500,0.514
4.600,-3.000,0.706
4.600,-2.900,0.669
4.600,-2.800,0.597
4.600,-2.700,0.571
4.600,-2.600,0.559
4.600,-2.500,0.552
4.600,-2.400,0.547
4.600,-2.300,0.542
4.600,-2.200,0.539
4.600,-2.100,0.535
4.600,-2.000,0.532
4.600,-1.900,0.529
4.600,-1.800,0.526
4.600,-1.700,0.523
4.600,-1.600,0.520
4.600,-1.500,0.517
4.700,-3.000,0.714
4.700,-2.900,0.673
4.700,-2.800,0.600
4.700,-2.700,0.574
4.700,-2.600,0.562
4.700,-2.500,0.555
4.700,-2.400,0.550
4.700,-2.300,0.545
4.700,-2.200,0.542
4.700,-2.100,0.538
4.700,-2.000,0.535
4.700,-1.900,0.531
4.700,-1.800,0.528
4.700,-1.700,0.525
4.700,-1.600,0.522
4.700,-1.500,0.519
4.800,-3.000,0.722
4.800,-2.900,0.676
4.800,-2.800,0.603
4.800,-2.700,0.577
4.800,-2.600,0.565
4.800,-2.500,0.558
4.800,-2.400,0.553
4.800,-2.300,0.548
4.800,-2.200,0.544
4.800,-2.100,0.541
4.800,-2.000,0.537
4.800,-1.900,0.534
4.800,-1.800,0.531
4.800,-1.700,0.528
4.800,-1.600,0.525
4.800,-1.500,0.522
4.900,-3.000,0.729
4.900,-2.900,0.680
4.900,-2.800,0.607
4.900,-2.700,0.581
4.900,-2.600,0.568
4.900,-2.500,0.561
4.900,-2.400,0.556
4.900,-2.300,0.551
4.900,-2.200,0.547
4.900,-2.100,0.544
4.900,-2.000,0.540
4.900,-1.900,0.537
